"Date","WIKI.AAPL - Adj. Open","WIKI.AAPL - Adj. High","WIKI.AAPL - Adj. Low","WIKI.AAPL - Adj. Close","WIKI.AAPL - Adj. Volume"
2015-10-27,115.4,116.54,113.99,114.55,56542594
2015-10-26,118.08,118.13,114.92,115.21,65874051
2015-10-23,116.7,119.228,116.33,119.08,58451404
2015-10-22,114.33,115.5,114.1,115.47,40816364
2015-10-21,114,115.58,113.7,113.76,41708795
2015-10-20,111.34,114.17,110.82,113.78,48539823
2015-10-19,110.8,111.75,110.11,111.73,29515641
2015-10-16,111.78,112,110.53,111.04,38001868
2015-10-15,110.93,112.1,110.49,111.8,37270444
2015-10-14,111.29,111.52,109.56,110.21,44134440
2015-10-13,110.82,112.45,110.68,111.79,32014688
2015-10-12,112.73,112.75,111.44,111.6,30467204
2015-10-09,110,112.28,109.49,112.09,51599856
2015-10-08,110.19,110.19,108.21,109.5,61491821
2015-10-07,111.74,111.77,109.41,110.67,46475255
2015-10-06,110.63,111.74,109.765,111.31,48342635
2015-10-05,109.88,111.3698,109.07,110.78,51445837
2015-10-02,108.01,111.0136,107.55,110.38,57383318
2015-10-01,109.07,109.62,107.31,109.57,63445783
2015-09-30,110.17,111.54,108.73,109.95,65041596
2015-09-29,112.83,113.51,107.86,109.06,72667046
2015-09-28,113.85,114.57,112.44,112.44,50782189
2015-09-25,116.44,116.69,114.02,114.72,55628400
2015-09-24,113.25,115.5,112.37,115,49487464
2015-09-23,113.63,114.72,113.3,114.32,35448102
2015-09-22,113.38,114.18,112.5201,113.432,49639709
2015-09-21,113.67,115.37,113.66,115.21,45941907
2015-09-18,112.21,114.3,111.87,113.45,70688038
2015-09-17,115.66,116.49,113.715,113.92,63099857
2015-09-16,116.25,116.54,115.44,116.35,36733558
2015-09-15,115.93,116.53,114.42,116.28,42765371
2015-09-14,116.58,116.89,114.86,115.3,57718121
2015-09-11,111.79,114.21,111.76,114.21,49915473
2015-09-10,110.27,113.2825,109.9,112.57,62892831
2015-09-09,113.76,114.02,109.77,110.15,85010804
2015-09-08,111.65,112.56,110.32,112.21,53458236
2015-09-04,108.97,110.45,108.51,109.27,49478188
2015-09-03,112.49,112.78,110.04,110.37,52760161
2015-09-02,110,112.34,109.131,112.34,59132119
2015-09-01,110.18,111.88,107.36,107.96,75390404
2015-08-31,112.13,114.53,112,112.76,56229271
2015-08-28,112.17,113.31,111.54,113.28,52615979
2015-08-27,112.25,113.24,110.02,112.844,82920631
2015-08-26,107.085,109.89,105.05,109.625,95863586
2015-08-25,111.11,111.11,104,105.875,92446952
2015-08-24,94.87,108.8,92,103.623,155087029
2015-08-21,110.43,111.9,105.645,106.22,118403447
2015-08-20,114.08,114.35,111.63,112.65,67466441
2015-08-19,116.1,116.52,114.68,115.01,47244972
2015-08-18,116.43,117.44,116.01,116.5,34321855
2015-08-17,116.04,117.65,115.5,117.16,40637619
2015-08-14,114.32,116.31,114.01,116,42274361
2015-08-13,116.04,116.4,114.54,115.15,48008313
2015-08-12,112.53,115.42,109.63,115.24,100758347
2015-08-11,117.81,118.18,113.33,113.5499,95252852
2015-08-10,116.53,119.99,116.53,119.6901,53995783
2015-08-07,114.58,116.25,114.5,115.52,38242703
2015-08-06,115.97,116.5,114.115,115.17,52399148
2015-08-05,112.44231567119,116.91213415161,111.59613622612,114.88130348345,98384461
2015-08-04,116.89222404702,117.17096551128,112.74096724004,114.12471950903,122683050
2015-08-03,120.95388538335,122.01907597891,116.99177456997,117.90266185496,69152079
2015-07-31,122.04894113579,122.09125010805,120.36653729795,120.91406517417,41709500
2015-07-30,121.77019967154,122.01897642839,121.16294148155,121.81997493301,31772760
2015-07-29,122.59646901201,122.94489584234,121.72042441006,122.4371881753,35664978
2015-07-28,122.8254352148,123.35305298643,121.99916587432,122.76570490103,33300002
2015-07-27,122.53673869825,123.05440141758,121.57109862564,122.33763765235,44149598
2015-07-24,124.75671536001,125.1748275564,123.34309793413,123.92049096724,40930089
2015-07-23,125.63275996197,126.51875961622,124.49788400035,124.5974345233,50999452
2015-07-22,121.4416829458,124.93590630132,121.4416829458,124.65716483706,115450607
2015-07-21,132.25286973809,132.32255510416,129.73424150748,130.16230875616,76756427
2015-07-20,130.38131990665,132.37233036563,130.11253349468,131.47637565909,58900203
2015-07-17,128.49981502291,129.03738784683,127.7332759962,129.03738784683,46164710
2015-07-16,127.16583801539,127.99210735586,126.77759097588,127.9323770421,36222447
2015-07-15,125.15491745181,126.57848992999,125.01554671968,126.24997320425,33649200
2015-07-14,125.47347912525,125.80199585098,124.47797389576,125.04541187657,31768139
2015-07-13,124.46801884346,125.18976013484,123.76121013052,125.09518713804,41440538
2015-07-10,121.39190768433,123.29332267266,120.6651888668,122.72588469185,61354474
